id.bref.team,id.bref.current_team,team,current_team,url.bref.team
ATL,ATL,Atlanta Hawks,Atlanta Hawks,http://www.basketball-reference.com/teams/ATL
BLB,WAS,Baltimore Bullets,Washington Wizards,http://www.basketball-reference.com/teams/WAS
BAL,WAS,Baltimore Bullets,Washington Wizards,http://www.basketball-reference.com/teams/WAS
BOS,BOS,Boston Celtics,Boston Celtics,http://www.basketball-reference.com/teams/BOS
BRK,BRK,Brooklyn Nets,Brooklyn Nets,http://www.basketball-reference.com/teams/BRK
BUF,LAC,Buffalo Braves,Los Angeles Clippers,http://www.basketball-reference.com/teams/LAC
CAP,WAS,Capital Bullets,Washington Wizards,http://www.basketball-reference.com/teams/WAS
CHO,CHA,Charlotte Hornets,Charlotte Hornets,http://www.basketball-reference.com/teams/CHA
CHH,CHA,Charlotte Hornets,Charlotte Hornets,http://www.basketball-reference.com/teams/CHA
CHA,CHA,Charlotte Hornets,Charlotte Hornets,http://www.basketball-reference.com/teams/CHA
CHI,CHI,Chicago Bulls,Chicago Bulls,http://www.basketball-reference.com/teams/CHI
CHP,WAS,Chicago Packers,Washington Wizards,http://www.basketball-reference.com/teams/WAS
CHS,NA,Chicago Stags,NA,NA
CHZ,WAS,Chicago Zephyrs,Washington Wizards,http://www.basketball-reference.com/teams/WAS
CIN,SAC,Cincinnati Royals,Sacramento Kings,http://www.basketball-reference.com/teams/SAC
CLE,CLE,Cleveland Cavailers,Cleveland Cavailers,http://www.basketball-reference.com/teams/CLE
DAL,DAL,Dallas Mavericks,Dallas Mavericks,http://www.basketball-reference.com/teams/DAL
DEN,DEN,Denver Nuggets,Denver Nuggets,http://www.basketball-reference.com/teams/DEN
DET,DET,Detroit Pistons,Detroit Pistons,http://www.basketball-reference.com/teams/DET
FTW,DET,Fort Wayne Pistons,Detroit Pistons,http://www.basketball-reference.com/teams/DET
GSW,GSW,Golden State Warriors,Golden State Warriors,http://www.basketball-reference.com/teams/GSW
HOU,HOU,Houston Rockets,Houston Rockets,http://www.basketball-reference.com/teams/HOU
IND,IND,Indiana Pacers,Indiana Pacers,http://www.basketball-reference.com/teams/IND
INJ,NA,Indianapolis Jets,NA,NA
INO,NA,Indianapolis Olympains,NA,NA
KCK,SAC,Kansas City Kings,Sacramento Kings,http://www.basketball-reference.com/teams/SAC
KCO,SAC,Kansas City-Omaha Kings,Sacramento Kings,http://www.basketball-reference.com/teams/SAC
LAC,LAC,Los Angeles Clippers,Los Angeles Clippers,http://www.basketball-reference.com/teams/LAC
LAL,LAL,Los Angeles Lakers,Los Angeles Lakers,http://www.basketball-reference.com/teams/LAL
MEM,MEM,Memphis Grizzlies,Memphis Grizzlies,http://www.basketball-reference.com/teams/MEM
MIA,MIA,Miami Heat,Miami Heat,http://www.basketball-reference.com/teams/MIA
MIL,MIL,Milwaukee Bucks,Milwaukee Bucks,http://www.basketball-reference.com/teams/MIL
MLH,ATL,Milwaukee Hawks,Atlanta Hawks,http://www.basketball-reference.com/teams/ATL
MNL,LAL,Minneapolis Lakers,Los Angeles Lakers,http://www.basketball-reference.com/teams/LAL
MIN,MIN,Minnesota Timberwolves,Minnesota Timberwolves,http://www.basketball-reference.com/teams/MIN
NJN,BRK,New Jersey Nets,Brooklyn Nets,http://www.basketball-reference.com/teams/BRK
NOH,NOP,New Orleans Hornets,New Orleans Pelicans,http://www.basketball-reference.com/teams/NOP
NOJ,UTA,New Orleans Jazz,Utah Jazz,http://www.basketball-reference.com/teams/UTA
NOP,NOP,New Orleans Pelicans,New Orleans Pelicans,http://www.basketball-reference.com/teams/NOP
NOK,NOP,New Orleans/Oklahoma City Hornets,New Orleans Pelicans,http://www.basketball-reference.com/teams/NOP
NYK,NYK,New York Knicks,New York Knicks,http://www.basketball-reference.com/teams/NYK
OKC,OKC,Oklahoma City Thunder,Oklahoma City Thunder,http://www.basketball-reference.com/teams/OKC
ORL,ORL,Orlando Magic,Orlando Magic,http://www.basketball-reference.com/teams/ORL
PHI,PHI,Philadelphia 76ers,Philadelphia 76ers,http://www.basketball-reference.com/teams/PHI
PHW,GSW,Philadelphia Warriors,Golden State Warriors,http://www.basketball-reference.com/teams/GSW
PHO,PHO,Phoenix Suns,Phoenix Suns,http://www.basketball-reference.com/teams/PHO
PIT,NA,Pittsburgh Ironmen,NA,NA
POR,POR,Portland Trailblazers,Portland Trailblazers,http://www.basketball-reference.com/teams/POR
PRO,NA,Providence Steam Rollers,NA,NA
ROC,SAC,Rochester Royals,Sacramento Kings,http://www.basketball-reference.com/teams/SAC
SAC,SAC,Sacramento Kings,Sacramento Kings,http://www.basketball-reference.com/teams/SAC
SAS,SAS,San Antonio Spurs,San Antonio Spurs,http://www.basketball-reference.com/teams/SAS
SDC,LAC,San Diego Clippers,Los Angeles Clippers,http://www.basketball-reference.com/teams/LAC
SDR,HOU,San Diego Rockets,Houston Rockets,http://www.basketball-reference.com/teams/HOU
SFW,GSW,San Francisco Warriors,Golden State Warriors,http://www.basketball-reference.com/teams/GSW
SEA,OKC,Seattle SuperSonics,Oklahoma City Thunder,http://www.basketball-reference.com/teams/OKC
STB,NA,St. Louis Bombers,NA,NA
STL,ATL,St. Louis Hawks,Atlanta Hawks,http://www.basketball-reference.com/teams/ATL
SYR,PHI,Syracuse Nationals,Philadelphia 76ers,http://www.basketball-reference.com/teams/PHI
TRH,NA,Toronto Huskies,NA,NA
TOR,TOR,Toronto Raptors,Toronto Raptors,http://www.basketball-reference.com/teams/TOR
TRI,ATL,Tri-Cities Blackhawks,Atlanta Hawks,http://www.basketball-reference.com/teams/ATL
UTA,UTA,Utah Jazz,Utah Jazz,http://www.basketball-reference.com/teams/UTA
VAN,MEM,Vancouver Grizzlies,Memphis Grizzlies,http://www.basketball-reference.com/teams/MEM
WSB,WAS,Washington Bulletts,Washington Wizards,http://www.basketball-reference.com/teams/WAS
WSC,NA,Washington Capitols,NA,NA
WAS,WAS,Washington Wizards,Washington Wizards,http://www.basketball-reference.com/teams/WAS
